"","A_major","A_minor","A#_major","A#_minor","B_major","B_minor","C_major","C_minor","C#_major","C#_minor","D_major","D_minor","D#_major","E_major","E_minor","F_major","F_minor","F#_major","F#_minor","G_major","G_minor","G#_major","G#_minor","D#_minor"
"Coldplay",19,2,27,5,17,12,14,6,18,7,8,1,11,13,4,21,17,13,6,40,5,12,4,NA
"Radiohead",10,11,NA,4,2,12,17,1,3,6,19,9,3,5,9,9,5,2,2,21,4,3,1,1
"Red Hot Chili Peppers",16,12,2,1,5,17,27,3,4,5,17,6,NA,6,16,4,5,1,8,14,5,7,1,NA
"Rihanna",15,10,8,11,11,26,13,15,42,3,16,NA,5,6,8,5,28,16,17,19,17,26,21,11
"Eminem",29,30,11,46,30,26,24,4,102,16,43,5,6,16,56,11,24,15,19,46,10,31,17,1
"The Killers",5,5,8,7,16,7,12,5,19,10,9,NA,7,3,1,9,1,8,3,5,4,6,2,9
"Kanye West",8,12,12,32,8,25,8,12,42,23,16,8,2,4,6,11,14,21,13,34,13,15,11,7
"Nirvana",13,6,5,7,8,8,11,2,32,14,14,4,4,17,9,5,5,7,6,15,1,21,4,2
"Muse",10,14,4,2,4,4,19,7,NA,2,29,6,4,5,8,5,1,2,3,20,8,7,1,1
"Queen",100,42,22,2,8,25,70,20,18,5,162,21,28,35,56,49,12,5,4,115,14,26,3,2
"Foo Fighters",11,1,NA,NA,5,8,12,NA,1,1,23,NA,2,9,3,2,1,NA,4,12,2,2,NA,NA
"Linkin Park",30,35,9,15,24,12,34,NA,31,25,9,9,6,24,25,21,12,12,25,48,6,16,19,21
"Lady Gaga",13,22,7,4,7,13,50,12,16,14,24,NA,3,3,15,7,18,12,12,30,7,11,2,6
"The Rolling Stones",96,16,25,NA,8,23,114,2,12,12,80,3,4,60,21,41,7,7,10,88,6,3,6,NA
"Daft Punk",31,20,6,19,5,39,18,13,71,22,36,NA,2,4,10,9,27,14,18,36,12,13,13,5
"Green Day",46,2,6,6,29,11,30,1,35,8,59,4,11,33,3,7,7,17,9,25,NA,24,6,2
"Katy Perry",NA,6,23,2,1,4,75,1,15,16,13,4,NA,12,12,31,25,27,1,48,6,40,NA,23
"The Beatles",13,6,4,1,2,4,11,NA,3,3,24,1,1,7,7,12,2,3,1,21,1,10,2,NA
"Oasis",24,44,1,NA,21,27,58,2,NA,11,74,2,NA,19,15,13,8,5,18,71,3,3,1,NA
"Gorillaz",7,15,4,8,4,17,24,1,7,4,14,4,1,4,7,NA,2,8,2,36,5,4,5,2
"Beyonc¨¦",7,19,29,17,12,18,30,14,86,2,25,5,2,7,8,26,7,47,21,59,6,22,4,1
"Michael Jackson",20,14,16,7,27,25,19,4,40,4,13,6,4,21,11,10,14,2,9,15,9,27,3,9
"Maroon 5",3,17,3,15,23,28,30,2,30,27,26,1,24,16,42,7,22,11,11,28,4,12,4,9
"Arctic Monkeys",12,9,5,NA,6,14,12,4,6,3,18,NA,2,6,5,4,5,NA,6,8,9,5,NA,NA
"System of a Down",NA,NA,NA,NA,NA,NA,50,5,41,9,22,NA,NA,3,3,8,21,27,5,17,4,44,6,1
"U2",25,12,2,10,7,7,23,2,23,6,38,9,1,14,13,7,1,19,7,21,5,21,10,12
"Kings of Leon",20,NA,NA,1,3,7,9,1,NA,3,17,NA,NA,18,2,2,NA,NA,NA,12,NA,1,NA,NA
"Drake",4,27,8,22,9,27,34,19,71,14,31,6,3,3,20,7,12,13,21,36,11,26,8,2
"David Bowie",50,20,20,12,19,25,110,6,29,4,65,13,5,18,36,51,17,9,4,94,16,25,2,4
"The Strokes",17,6,3,NA,14,2,23,NA,10,1,15,8,NA,6,4,7,NA,4,3,12,2,6,2,NA
"Britney Spears",4,5,1,1,3,4,3,1,NA,3,3,2,2,3,3,NA,6,3,2,8,4,3,2,NA
"Franz Ferdinand",9,5,NA,6,1,4,17,2,7,NA,11,8,NA,NA,7,3,2,1,6,22,6,3,2,NA
"The Doors",21,17,3,NA,1,13,25,5,3,NA,33,5,2,11,25,11,2,2,2,13,NA,NA,1,1
"JAY-Z",28,19,15,49,20,38,32,10,76,35,44,12,6,13,32,18,19,34,35,53,10,26,23,6
"Madonna",18,30,9,37,31,33,45,20,19,5,21,8,5,13,15,21,17,10,34,66,20,15,16,6
"Pink Floyd",42,11,5,NA,6,23,51,10,11,5,36,6,6,6,30,13,4,NA,4,66,14,3,4,1
"Weezer",22,NA,9,7,16,14,23,1,21,7,28,1,8,14,12,3,6,40,2,15,NA,44,4,10
