,A_major,A_minor,A#_major,A#_minor,B_major,B_minor,C_major,C_minor,C#_major,C#_minor,D_major,D_minor,D#_major,E_major,E_minor,F_major,F_minor,F#_major,F#_minor,G_major,G_minor,G#_major,G#_minor,D#_minor,Total,Max,Max_key
Coldplay,19.0,2.0,27.0,5.0,17.0,12.0,14.0,6.0,18.0,7.0,8.0,1.0,11.0,13.0,4.0,21.0,17.0,13.0,6.0,40.0,5.0,12.0,4.0,0.0,282.0,40.0,G_major
Radiohead,10.0,11.0,0.0,4.0,2.0,12.0,17.0,1.0,3.0,6.0,19.0,9.0,3.0,5.0,9.0,9.0,5.0,2.0,2.0,21.0,4.0,3.0,1.0,1.0,159.0,21.0,G_major
Red Hot Chili Peppers,16.0,12.0,2.0,1.0,5.0,17.0,27.0,3.0,4.0,5.0,17.0,6.0,0.0,6.0,16.0,4.0,5.0,1.0,8.0,14.0,5.0,7.0,1.0,0.0,182.0,27.0,C_major
Rihanna,15.0,10.0,8.0,11.0,11.0,26.0,13.0,15.0,42.0,3.0,16.0,0.0,5.0,6.0,8.0,5.0,28.0,16.0,17.0,19.0,17.0,26.0,21.0,11.0,349.0,42.0,C#_major
Eminem,29.0,30.0,11.0,46.0,30.0,26.0,24.0,4.0,102.0,16.0,43.0,5.0,6.0,16.0,56.0,11.0,24.0,15.0,19.0,46.0,10.0,31.0,17.0,1.0,618.0,102.0,C#_major
The Killers,5.0,5.0,8.0,7.0,16.0,7.0,12.0,5.0,19.0,10.0,9.0,0.0,7.0,3.0,1.0,9.0,1.0,8.0,3.0,5.0,4.0,6.0,2.0,9.0,161.0,19.0,C#_major
Kanye West,8.0,12.0,12.0,32.0,8.0,25.0,8.0,12.0,42.0,23.0,16.0,8.0,2.0,4.0,6.0,11.0,14.0,21.0,13.0,34.0,13.0,15.0,11.0,7.0,357.0,42.0,C#_major
Nirvana,13.0,6.0,5.0,7.0,8.0,8.0,11.0,2.0,32.0,14.0,14.0,4.0,4.0,17.0,9.0,5.0,5.0,7.0,6.0,15.0,1.0,21.0,4.0,2.0,220.0,32.0,C#_major
Muse,10.0,14.0,4.0,2.0,4.0,4.0,19.0,7.0,0.0,2.0,29.0,6.0,4.0,5.0,8.0,5.0,1.0,2.0,3.0,20.0,8.0,7.0,1.0,1.0,166.0,29.0,D_major
Queen,100.0,42.0,22.0,2.0,8.0,25.0,70.0,20.0,18.0,5.0,162.0,21.0,28.0,35.0,56.0,49.0,12.0,5.0,4.0,115.0,14.0,26.0,3.0,2.0,844.0,162.0,D_major
Foo Fighters,11.0,1.0,0.0,0.0,5.0,8.0,12.0,0.0,1.0,1.0,23.0,0.0,2.0,9.0,3.0,2.0,1.0,0.0,4.0,12.0,2.0,2.0,0.0,0.0,99.0,23.0,D_major
Linkin Park,30.0,35.0,9.0,15.0,24.0,12.0,34.0,0.0,31.0,25.0,9.0,9.0,6.0,24.0,25.0,21.0,12.0,12.0,25.0,48.0,6.0,16.0,19.0,21.0,468.0,48.0,G_major
Lady Gaga,13.0,22.0,7.0,4.0,7.0,13.0,50.0,12.0,16.0,14.0,24.0,0.0,3.0,3.0,15.0,7.0,18.0,12.0,12.0,30.0,7.0,11.0,2.0,6.0,308.0,50.0,C_major
The Rolling Stones,96.0,16.0,25.0,0.0,8.0,23.0,114.0,2.0,12.0,12.0,80.0,3.0,4.0,60.0,21.0,41.0,7.0,7.0,10.0,88.0,6.0,3.0,6.0,0.0,644.0,114.0,C_major
Daft Punk,31.0,20.0,6.0,19.0,5.0,39.0,18.0,13.0,71.0,22.0,36.0,0.0,2.0,4.0,10.0,9.0,27.0,14.0,18.0,36.0,12.0,13.0,13.0,5.0,443.0,71.0,C#_major
