"","name","album","artist","release_date","length","popularity","danceability","acousticness","danceability.1","energy","instrumentalness","liveness","loudness","speechiness","tempo","time_signature","tempo_fs"
"994","Dance Monkey","Dance Monkey (Stripped Back) / Dance Monkey","Tones And I","2019-10-17",3.49063333333333,93,0.824,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,4,"moderato"
"911","Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi","2019-05-17",3.036,92,0.501,0.751,0.501,0.405,0,0.105,-5.679,0.0319,109.891,4,"allegro"
"748","goosebumps","Birds In The Trap Sing McKnight","Travis Scott","2016-09-16",4.06393333333333,91,0.841,0.0847,0.841,0.728,0,0.149,-3.37,0.0484,130.049,4,"allegro"
"806","Lucid Dreams","Goodbye & Good Riddance","Juice WRLD","2018-12-10",3.99725,90,0.511,0.349,0.511,0.566,0,0.34,-7.23,0.2,83.903,4,"moderato"
"842","SICKO MODE","ASTROWORLD","Travis Scott","2018-08-03",5.21366666666667,90,0.834,0.00513,0.834,0.73,0,0.124,-3.714,0.222,155.008,4,"allegro"
"902","bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish","2019-03-29",3.23478333333333,90,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,"allegro"
"933","SICKO MODE","ASTROWORLD","Travis Scott","2018-08-03",5.21366666666667,90,0.834,0.00513,0.834,0.73,0,0.124,-3.714,0.222,155.008,4,"allegro"
"985","Ride It","Ride It","Regard","2019-07-26",2.62675,90,0.88,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,4,"allegro"
"999","Robbery","Death Race For Love","Juice WRLD","2019-03-08",4.00083333333333,90,0.685,0.328,0.685,0.692,0,0.153,-5.122,0.0457,159.966,5,"vivace"
"899","lovely (with Khalid)","lovely (with Khalid)","Billie Eilish","2018-04-19",3.33641666666667,89,0.351,0.934,0.351,0.296,0,0.095,-10.109,0.0333,115.284,4,"allegro"
"934","lovely (with Khalid)","lovely (with Khalid)","Billie Eilish","2018-04-19",3.33641666666667,89,0.351,0.934,0.351,0.296,0,0.095,-10.109,0.0333,115.284,4,"allegro"
