,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,God's Plan,Scorpion,Drake,2018-06-29,198973,85,0.754,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,4
1,rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,2018-04-27,218146,87,0.585,0.124,0.585,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,4
2,Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.599,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
3,Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2017-08-11,163870,81,0.643,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,4
4,Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,84,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,104.988,4
5,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,90,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4
6,The Middle,The Middle,Zedd,2018-01-23,184732,84,0.753,0.171,0.753,0.657,0.0,0.112,-3.061,0.0449,107.01,4
7,FRIENDS,FRIENDS,Marshmello,2018-02-09,202620,83,0.626,0.205,0.626,0.88,0.0,0.128,-2.384,0.0504,95.079,4
8,I Like It,Invasion of Privacy,Cardi B,2018-04-06,253390,84,0.816,0.099,0.816,0.726,0.0,0.372,-3.998,0.129,136.048,4
9,In My Feelings,Scorpion,Drake,2018-06-29,217925,81,0.835,0.0589,0.835,0.626,6e-05,0.396,-5.833,0.125,91.03,4
10,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,83,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
11,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,2018-04-27,221440,82,0.75,0.546,0.75,0.56,0.0,0.111,-8.094,0.105,140.06,4
12,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,85,0.791,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4
13,Girls Like You (feat. Cardi B),Red Pill Blues (Deluxe),Maroon 5,2018-06-15,235545,78,0.851,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,124.959,4
14,Mo Bamba,MUDBOY,Sheck Wes,2018-10-05,183906,80,0.729,0.194,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,4
15,Nice For What,Scorpion,Drake,2018-06-29,210746,80,0.585,0.0891,0.585,0.909,9.7e-05,0.119,-6.474,0.0707,93.372,4
16,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,86,0.68,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,145.038,4
17,Finesse - Remix; feat. Cardi B,Finesse (Remix) [feat. Cardi B],Bruno Mars,2017-12-20,217288,77,0.704,0.0185,0.704,0.859,0.0,0.0215,-4.877,0.0996,105.115,4
18,Boo'd Up,READY,Ella Mai,2017-02-22,256063,74,0.561,0.0862,0.561,0.779,0.0,0.078,-5.107,0.0531,81.965,4
19,New Rules,Dua Lipa (Deluxe),Dua Lipa,2017-06-02,209320,82,0.762,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,116.073,4
20,SAD!,?,XXXTENTACION,2018-03-16,166605,88,0.74,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,75.023,4
21,Never Be the Same,Camila,Camila Cabello,2018-01-12,226973,74,0.637,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,129.923,4
22,Love Lies (with Normani),Love Lies (with Normani),Khalid,2018-02-14,201707,78,0.708,0.0956,0.708,0.648,0.0,0.134,-5.626,0.0449,143.955,4
23,Mine,COSMIC,Bazzi,2018-04-12,131064,80,0.71,0.0161,0.71,0.789,2.77e-06,0.451,-3.874,0.0722,142.929,4
24,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,84,0.556,0.0689,0.556,0.538,0.0,0.196,-5.408,0.0382,143.95,4
25,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,86,0.605,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,167.997,4
26,Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,2018-02-09,181263,78,0.922,0.00104,0.922,0.581,5.86e-05,0.105,-7.495,0.27,140.022,4
